pipeline,execution_accuracy,n_comparable,heuristic_semantic_error_rate,valid_sql_rate,refusal_rate,static_structural_error_rate,hallucinated_table_rate,hallucinated_column_rate,execution_structural_error_rate,wrong_execution_result_rate,execution_attempted,table_recall_at_5,column_recall_at_5,knowledge_recall_at_5_tpcds,knowledge_recall_at_5_bird_evidence
A - Sans RAG,0.0,498,,0.0,0.798,1.0,0.162,0.038,1.0,0.0,100,,,,
B - RAG schema seul,0.0642570281124498,498,0.336734693877551,0.196,0.71,0.32413793103448274,0.002,0.088,0.25517241379310346,0.5241379310344828,145,0.9374666666666667,0.40861587301587304,,
C - RAG metier seul,0.014056224899598393,498,,0.026,0.428,0.9545454545454546,0.39,0.144,0.9649122807017544,0.010526315789473684,285,,,1.0,0.9733333333333334
D - RAG hybride,0.22690763052208834,498,0.24803149606299213,0.508,0.228,0.34196891191709844,0.006,0.248,0.35324675324675325,0.35324675324675325,385,0.9374666666666667,0.40861587301587304,1.0,0.9733333333333334
