pipeline,execution_accuracy,execution_accuracy_std,valid_sql_rate,refusal_rate,execution_structural_error_rate,wrong_execution_result_rate
A - Sans RAG,0.0,0.0,0.0,0.798,1.0,0.0
B - RAG schema seul,0.06451612903225806,0.0,0.19533333333333333,0.7106666666666667,0.26036079182630906,0.5184386973180077
C - RAG metier seul,0.013440860215053764,0.0009504123403044993,0.025333333333333333,0.42866666666666664,0.9660448068528128,0.010538670620212503
D - RAG hybride,0.22849462365591397,0.001900824680608997,0.508,0.22866666666666668,0.3552788148307447,0.35009743290517675
